id	category	title	cli	description	tags	source
/heat	repl	/heat	python nse_agent.py → /heat	Sector heat map — colour-coded stage/momentum grid	sector heat overview	launcher_data.json
/global	repl	/global	python nse_agent.py → /global	Overnight US / Asian / SGX global cues and readthrough	global macro	launcher_data.json
/us	repl	/us	python nse_agent.py → /us	US market readthrough — how US close maps to Indian open	global us	launcher_data.json
/cycle	repl	/cycle	python nse_agent.py → /cycle	Market cycle position — phase, duration, historical analogues	cycle macro	launcher_data.json
/data-status	repl	/data-status	python nse_agent.py → /data-status	Data freshness check — last update time for each source	admin health data	launcher_data.json
/status	repl	/status	python nse_agent.py → /status	System status — PG, LLM, yfinance, Screener.in connectivity	admin health	launcher_data.json
/commands	repl	/commands	python nse_agent.py → /commands	List all REPL commands with descriptions	admin help	launcher_data.json
/scan	repl	/scan	python nse_agent.py → /scan	Live intraday scan across the F&O universe	intraday scan	launcher_data.json
/screen	repl	/screen	python nse_agent.py → /screen	Run any of the 40 screeners (stage2, momentum, highrs, vcp…)	screener	launcher_data.json
/visual-scan	repl	/visual-scan	python nse_agent.py → /visual-scan	Grounded EOD chart-pattern visual scan across universe	screener technical eod	launcher_data.json
/intraday-alerts	repl	/intraday-alerts	python nse_agent.py → /intraday-alerts	View latest intraday alert cycle results from the tracker	intraday alerts	launcher_data.json
/monitor	repl	/monitor	python nse_agent.py → /monitor	Start live monitoring loop — continuous alert tracking	intraday monitor	launcher_data.json
/search	repl	/search	python nse_agent.py → /search QUERY	Symbol / concept search — find stocks matching a description	search symbol	launcher_data.json
/chart	repl	/chart	python -m terminal.chart_engine SYMBOL	Comprehensive HTML chart — SMA, Supertrend, RS, S/R, MACD, BB, VWAP	chart technical	launcher_data.json
/xray	repl	/xray	python nse_agent.py → /xray SYMBOL	Company X-Ray — fundamentals, insider, events, Weinstein stage	fundamental research	launcher_data.json
/mtf	repl	/mtf	python nse_agent.py → /mtf SYMBOL	Multi-time-frame level analysis — PWk/P3D/PD/SOD/L30	mtf levels	launcher_data.json
/options	repl	/options	python nse_agent.py → /options SYMBOL	Options chain, PCR, OI heatmap, bias and trade verdict	options derivatives	launcher_data.json
/fno	repl	/fno	python nse_agent.py → /fno SYMBOL	F&O summary — OI, PCR, basis, max pain, CE/PE walls	fno derivatives	launcher_data.json
/oi	repl	/oi	python nse_agent.py → /oi SYMBOL	Open interest analysis — OI change, long/short build-up	oi fno	launcher_data.json
/pcr	repl	/pcr	python nse_agent.py → /pcr SYMBOL	Put/Call Ratio trend and interpretation	pcr options	launcher_data.json
/scenario	repl	/scenario	python nse_agent.py → /scenario SYMBOL	Options scenario P&L run — payoff across price range	options scenario	launcher_data.json
/backtest	repl	/backtest	python nse_agent.py → /backtest SYMBOL	Historical backtest for a symbol — signals vs EOD returns	backtest historical	launcher_data.json
/research	repl	/research	python nse_agent.py → /research SYMBOL	Full research pipeline — technicals + fundamentals + F&O + news	research fundamental	launcher_data.json
/deep-research	repl	/deep-research	python nse_agent.py → /deep-research SYMBOL	Deep research pipeline — multi-source AI-synthesised report	research llm deep	launcher_data.json
/ric	repl	/ric	python nse_agent.py → /ric SYMBOL	Research Intelligence Council — AI ensemble deep-dive	ric llm	launcher_data.json
/strategy_council	repl	/strategy council	python nse_agent.py → /strategy_council SYMBOL	Multi-agent strategy council for a symbol	strategy llm	launcher_data.json
/plan	repl	/plan	python nse_agent.py → /plan SYMBOL	Trade plan — entry trigger, stop, target, R:R for a symbol	trade plan	launcher_data.json
/strength	repl	/strength	python nse_agent.py → /strength SYMBOL	Relative strength vs Nifty 50 and sector index	rs relative-strength	launcher_data.json
/canslim	repl	/canslim	python nse_agent.py → /canslim SYMBOL	CANSLIM analysis — O'Neil criteria scored for a symbol	canslim fundamental	launcher_data.json
/valuation-check	repl	/valuation-check	python nse_agent.py → /valuation-check SYMBOL	Valuation scenario — DCF, P/E, EV/EBITDA bands	valuation fundamental	launcher_data.json
/forensic	repl	/forensic	python nse_agent.py → /forensic SYMBOL	Forensic accounting check — red flags, cash flow vs profit	forensic fundamental	launcher_data.json
/diagnose	repl	/diagnose	python nse_agent.py → /diagnose SYMBOL	Fundamental driver diagnosis — what's driving earnings	fundamental diagnosis	launcher_data.json
/investment-checklist	repl	/investment-checklist	python nse_agent.py → /investment-checklist SYMBOL	Investment checklist — quality, growth, momentum, valuation score	checklist fundamental	launcher_data.json
/concall	repl	/concall	python nse_agent.py → /concall SYMBOL	Concall transcript summary — management commentary from Screener.in	concall fundamental	launcher_data.json
/results	repl	/results	python nse_agent.py → /results SYMBOL	Latest quarterly results — revenue, PAT, margins, YoY/QoQ	results fundamental	launcher_data.json
/events	repl	/events	python nse_agent.py → /events SYMBOL	Corporate events — dividends, buybacks, board meetings, splits	events corporate	launcher_data.json
/broker-research	repl	/broker-research	python nse_agent.py → /broker-research SYMBOL	Broker research fetch — target prices and ratings	broker research	launcher_data.json
/sector	repl	/sector	python nse_agent.py → /sector NAME	Sector deep-dive — stage distribution, leaders, catalysts	sector research	launcher_data.json
/pnl	repl	/pnl	python nse_agent.py → /pnl	Portfolio P&L snapshot — holdings, cost basis, unrealised	portfolio pnl	launcher_data.json
/my-portfolio	repl	/my-portfolio	python nse_agent.py → /my-portfolio	Portfolio analysis — add/trim/hold ranking with stage + fundamentals	portfolio analysis	launcher_data.json
/swing-playbook	repl	/swing-playbook	python nse_agent.py → /swing-playbook	Swing trade playbook — ranked setups with entry/stop/target	swing trade report	launcher_data.json
/strategy-lab	repl	/strategy-lab	python nse_agent.py → /strategy-lab run	Portfolio strategy lab HTML — best-strategy replay + VCP tabs	strategy portfolio	launcher_data.json
/report	repl	/report	python nse_agent.py → /report	Top picks HTML report from today's screener results	report picks	launcher_data.json
/results-feed	repl	/results-feed	python nse_agent.py → /results-feed	Recent filings feed — symbols with latest quarterly results	results feed	launcher_data.json
/voice	repl	/voice	python generate_voice_briefing.py --no-tts	Generate voice briefing script (no TTS)	voice report	launcher_data.json
/voice-mode	repl	/voice-mode	python nse_agent.py → /voice-mode	Toggle real-time voice mode — speak queries, hear answers	voice tts	launcher_data.json
/email	repl	/email	python nse_agent.py → /email	Draft and send daily top-picks email to distribution list	email report	launcher_data.json
/youtube	repl	/youtube	python nse_agent.py → /youtube QUERY	YouTube research search — find analyst videos for a query	youtube research	launcher_data.json
/export	repl	/export	python nse_agent.py → /export	Export REPL session data — signals, scores, watchlist	export data	launcher_data.json
/screenshot	repl	/screenshot	python nse_agent.py → /screenshot	Capture terminal output as HTML and attach to email	screenshot export	launcher_data.json
/skills	repl	/skills	python nse_agent.py → /skills	List and execute skill-store cards from the REPL	skills store	launcher_data.json
/prompts	repl	/prompts	python nse_agent.py → /prompts	Browse the 60+ prompt library with fuzzy search	prompts	launcher_data.json
/doctor	repl	/doctor	agent-adda doctor	Health check — data freshness, DB status, API keys	admin health	launcher_data.json
/refresh	repl	/refresh	python daily_refresh.py	Run full daily pipeline (all 7 phases)	pipeline admin	launcher_data.json
equity_chart	screener	equity chart	python -m terminal.chart_engine SYMBOL	Comprehensive chart — BB, MACD, VWAP, RS, S/R, Supertrend (chart_engine)	chart technical	launcher_data.json
stage2_vcp	screener	stage2 vcp	python nse_agent.py → /screen stage2_vcp	Stage 2 VCP breakout candidates	stage2 vcp breakout	launcher_data.json
intraday_alerts	screener	intraday alerts	python -m terminal.live_intraday_alerts --cycles 1	Live F&O intraday alert scan — trigger, R:R, options verdict	intraday fno alerts	launcher_data.json
pullback_recovery	screener	pullback recovery	python pullback_recovery_screener.py	Apex pullback-recovery screener — Midcap/Nifty500 resilience candidates	screener pullback	launcher_data.json
screeners_stage	screener	screeners stage	python screeners.py	William O'Neil Stage Analysis screener — full universe stage scan	stage oneil	launcher_data.json
sector_rotation	screener	sector rotation	python sector_rotation_report.py	Sector rotation report — stage distribution, leaders / laggards	sector rotation	launcher_data.json
fund_dashboard	screener	fund dashboard	python tools/fund_refresh.py	Mutual fund holdings & sector allocation dashboard	fund portfolio	launcher_data.json
live_prices	screener	live prices	python tools/live_prices.py	Live prices dashboard for watchlist	live prices	launcher_data.json
market_breadth	screener	market breadth	python market_breadth.py	Market breadth — A/D, McClellan, TRIN	breadth market	launcher_data.json
rrg_report	screener	rrg report	python rrg_report.py	Relative Rotation Graph (RRG) — sector momentum quadrant chart → rrg.html	rrg sector rs	launcher_data.json
seasonal_heat_calendar	screener	seasonal heat calendar	python seasonal_heat_calendar.py	Sectoral heat calendar — seasonal return patterns by month	seasonal sector	launcher_data.json
global_correlation	screener	global correlation	python global_correlation.py	Global correlation monitor — NSE vs US/EM/commodities	global correlation	launcher_data.json
knowledge_graph	screener	knowledge graph	python knowledge_graph.py	NSE knowledge graph with shock propagation paths	knowledge graph	launcher_data.json
apex_resilience	screener	apex resilience	python apex_resilience_full_report.py	Apex resilience full report — drawdown recovery scoring	resilience screener	launcher_data.json
top_picks	screener	top picks	python scripts/top_picks_report.py	Top picks report from today's screener results	picks report	launcher_data.json
swing_playbook_html	screener	swing playbook html	python nse_agent.py → /swing-playbook	Swing playbook HTML — ranked candidates with entry/stop/target	swing report	launcher_data.json
strategy_lab	screener	strategy lab	python nse_agent.py → /strategy-lab run	Portfolio strategy lab HTML — replay + VCP tabs	strategy portfolio	launcher_data.json
morning_market_report	screener	morning market report	python scripts/build_morning_market_report.py	Morning market report — pre-open global cues, sector outlook, watchlist	morning report	launcher_data.json
midday_market_report	screener	midday market report	python scripts/build_morning_market_report.py --variant midday	Midday market report — second-half breadth, sector leaders, risk control	midday report	launcher_data.json
eod_market_report	screener	eod market report	python scripts/build_eod_market_report.py	EOD market report — day's movers, breadth, F&O snapshot	eod report	launcher_data.json
weekend_review	screener	weekend review	python scripts/run_weekend_market_review.py	Weekend market review — weekly summary, leaders, setups to watch	weekend report	launcher_data.json
morning_publish	screener	morning publish	python scripts/run_morning_market_publish.py	Morning market report + auto-publish (email + HTML)	morning publish	launcher_data.json
broader_market	screener	broader market	python scripts/build_broader_market_analysis.py	Broader market analysis — Midcap / Smallcap / Microcap breakdown	midcap smallcap market	launcher_data.json
smallcap_super_report	screener	smallcap super report	python scripts/build_smallcap_super_report.py	Smallcap super report — quality filter + momentum screen	smallcap report	launcher_data.json
intraday_fno_report	screener	intraday fno report	python scripts/build_agent_adda_intraday_fno_report.py	Intraday F&O editorial report — evidence-bound narrative	intraday fno report	launcher_data.json
email_daily_reports	screener	email daily reports	python email_daily_reports.py	Email daily NSE reports to distribution list (PG-backed)	email daily	launcher_data.json
universe_scoring	screener	universe scoring	python fixed_nse_universe_analysis.py	Full NSE universe scoring → scores.daily_scores in PostgreSQL	scoring universe	launcher_data.json
regime_detector	screener	regime detector	python regime_detector.py	HMM regime detection — BULL / ROTATION / CHOP / BEAR	regime hmm	launcher_data.json
global_market_intel	screener	global market intel	python global_market_intelligence.py	Global market intelligence — overnight US/Asia/macro digest	global macro	launcher_data.json
index_intelligence	screener	index intelligence	python index_intelligence.py	Index intelligence — composition, momentum, sector allocation shifts	index intelligence	launcher_data.json
portfolio_signals	screener	portfolio signals	python tools/portfolio_signals.py	Daily portfolio signal digest — add/trim/watch signals for holdings	portfolio signals	launcher_data.json
portfolio_assessment	screener	portfolio assessment	python tools/build_equity_portfolio_assessment.py --portfolio FILE.csv	Portfolio add/trim/hold assessment from ICICI Direct CSV	portfolio assessment	launcher_data.json
fund_daily	screener	fund daily	python tools/fund_daily.py	Fund daily dashboard — intraday NAV and holding movements	fund daily	launcher_data.json
fund_rebalance	screener	fund rebalance	python tools/fund_rebalance.py	Monthly fund rebalance engine — drift check and rebalance orders	fund rebalance	launcher_data.json
backtest_fund	screener	backtest fund	python tools/backtest_fund_strategies.py	Fund strategy backtest — historical replay of allocation strategies	fund backtest	launcher_data.json
midcap_monitor	screener	midcap monitor	python tools/midcap_daily_monitor.py	Midcap daily monitor — top movers, stage changes, watchlist alerts	midcap monitor	launcher_data.json
smallcap_monitor	screener	smallcap monitor	python tools/smallcap_daily_monitor.py	Smallcap daily monitor — top movers, stage changes, breakouts	smallcap monitor	launcher_data.json
n500_fund_refresh	screener	n500 fund refresh	python tools/n500_fund_refresh.py	NIFTY 500 fund dashboard refresh — full holding re-pull	fund nifty500	launcher_data.json
deep_research_report	screener	deep research report	python tools/build_tail_first_deep_research_report.py	Deep research report — tail-first narrative with sourced evidence	research deep	launcher_data.json
export_fundamentals	screener	export fundamentals	python tools/export_fundamentals.py	Export fundamentals from DB to CSV / JSON	export fundamentals	launcher_data.json
intraday_editorial	screener	intraday editorial	python -m terminal.intraday_editorial_report	Evidence-bound F&O editorial report (terminal module)	intraday editorial	launcher_data.json
scope_report	screener	scope report	python -m terminal.scope_report	Sector/index grounded report (terminal module)	sector report	launcher_data.json
materialize_vcp	screener	materialize vcp	python scripts/materialize_stage2_vcp_picks.py	Materialise Stage 2 VCP picks into portfolio.stage2_vcp_picks	vcp portfolio	launcher_data.json
backfill_fund	screener	backfill fund	python scripts/backfill_screener_fundamentals.py	Screener.in fundamentals backfill (NIFTY 500, run weekly)	fundamentals backfill	launcher_data.json
backfill_eod	screener	backfill eod	python scripts/backfill_equity_eod_yfinance.py	Extend equity price history >200 days via yfinance	price history	launcher_data.json
backfill_stage_history	screener	backfill stage history	python scripts/backfill_historical_stage_snapshots.py	Backfill historical stage snapshots — extend stage history in DB	stage history	launcher_data.json
refresh_results_feed	screener	refresh results feed	python scripts/refresh_results_feed.py	Refresh Screener.in results feed for symbols with recent filings	results feed	launcher_data.json
sync_signal_log	screener	sync signal log	python scripts/sync_signal_log_to_pg.py	Sync signal_log.csv → PostgreSQL signals table	signals sync	launcher_data.json
pg_loader	screener	pg loader	python postgres/loader.py	Load all data into PostgreSQL (equity + F&O + fundamentals)	postgres admin	launcher_data.json
pg_loader_eod	screener	pg loader eod	python postgres/loader.py --eod-only	Load equity EOD only into PostgreSQL	postgres eod	launcher_data.json
pg_loader_fno	screener	pg loader fno	python postgres/loader.py --fno-only	Load F&O EOD into PostgreSQL	postgres fno	launcher_data.json
mcp_server	screener	mcp server	python mcp_server.py	Start MCP server — exposes tool catalogue to Copilot / Claude	mcp server	launcher_data.json
fetch_corporate_events	screener	fetch corporate events	python fetch_corporate_events.py	Fetch upcoming corporate events from NSE API	corporate events	launcher_data.json
fetch_insider_alerts	screener	fetch insider alerts	python fetch_insider_alerts.py	Fetch insider trade alerts from NSE API	insider alerts	launcher_data.json
fetch_fii_dii	screener	fetch fii dii	python fetch_fii_dii_flows.py	Fetch FII / DII flow data for the day	fii dii flow	launcher_data.json
fetch_macro_proxies	screener	fetch macro proxies	python fetch_macro_proxies.py	Fetch macro-economic proxy signals (FRED etc.)	macro fred	launcher_data.json
intraday_ohlcv_capture	screener	intraday ohlcv capture	python scripts/run_intraday_ohlcv_capture.py	Intraday OHLCV capture — scheduled bar data collection (launchd)	intraday ohlcv	launcher_data.json
intraday_pattern_monitor	screener	intraday pattern monitor	python scripts/run_intraday_pattern_monitor.py	Intraday pattern monitor — live pattern detection across universe	intraday pattern	launcher_data.json
portfolio_construction	screener	portfolio construction	python scripts/portfolio_construction.py	Portfolio construction from signals — build target portfolio	portfolio signals	launcher_data.json
analyze_daily_results	screener	analyze daily results	python scripts/analyze_daily_results.py	Analyze daily results — batch parse quarterly filings	results analysis	launcher_data.json
deep_analyze_batch	screener	deep analyze batch	python scripts/deep_analyze_batch.py	Batch deep analysis — run deep research on a symbol list	research batch	launcher_data.json
full_analysis_pipeline	screener	full analysis pipeline	python run_complete_analysis_pipeline.py	End-to-end analysis pipeline — all stages in one run	pipeline analysis	launcher_data.json
report_validation	screener	report validation	python report_validation.py	Report validation — check HTML reports for broken links and stale data	validation report	launcher_data.json
daily_refresh	pipeline	daily refresh	python daily_refresh.py	Full 7-phase daily pipeline (~25–35 min, run after NSE close 16:00 IST)	pipeline daily	launcher_data.json
daily_refresh_dry	pipeline	daily refresh dry	python daily_refresh.py --dry-run	Daily pipeline dry-run — preview plan without executing	pipeline dry-run	launcher_data.json
daily_refresh_live	pipeline	daily refresh live	python daily_refresh.py --live-only	Fast live-price update only (~1 min)	pipeline live	launcher_data.json
stage_snapshot	pipeline	stage snapshot	python sector_rotation_tracker.py --snapshot	Stage tracker snapshot → scores.stage_snapshots	stage tracker	launcher_data.json
pg_start	pipeline	pg start	./postgres/start_pg.sh start	Start local PostgreSQL cluster	postgres admin	launcher_data.json
pg_stop	pipeline	pg stop	./postgres/start_pg.sh stop	Stop local PostgreSQL cluster	postgres admin	launcher_data.json
pg_status	pipeline	pg status	./postgres/start_pg.sh status	Check PostgreSQL cluster status	postgres admin	launcher_data.json
ollama_pull	pipeline	ollama pull	ollama pull granite4	Pull Granite4 local LLM model via Ollama	llm local	launcher_data.json
bhavcopy_loader	pipeline	bhavcopy loader	Rscript load_latest_nse_data_comprehensive.R	Load daily bhavcopy CSV into PostgreSQL via R	bhavcopy eod	launcher_data.json
sector_analysis_r	pipeline	sector analysis r	Rscript analyze_all_sectors.R	Run R sector analysis (analyze_all_sectors.R)	r sector	launcher_data.json
data_bootstrap	pipeline	data bootstrap	agent-adda data bootstrap --historical --source data	Seed SQLite from bundled CSV history (first-time setup)	setup admin	launcher_data.json
agent-adda-publish-intelligence-report	project_skill	Agent Adda Publish Intelligence Report	cd /Users/pradeepgorai/Documents/Projects/finance/Unified-NSE-Analysis	Publish Agent Adda research/report HTML to agentadda.in Market Intelligence and prepare or send the recipient notification. Use when the user asks to post, publish, deploy, email, or notify recipients	agent adda publish intelligence report	.claude/skills/agent-adda-publish-intelligence-report/SKILL.md
fundamental-analyze	project_skill	Fundamental Analyze	python3 .agents/skills/fundamental-analyze/scripts/fundamental_analyzer.py INPUT.json --format markdown --output REPORT.md	Research and value a listed company using the newest company filings, investor materials, exchange disclosures, Screener history, and current market data. Use for fundamental analysis, investment thes	fundamental analyze	.claude/skills/fundamental-analyze/SKILL.md
swing-playbook-report	project_skill	Swing Playbook Report	cd /Users/pradeepgorai/Documents/Projects/finance/Unified-NSE-Analysis	# Swing Playbook Report  Generates the **Agent Adda dark-terminal themed Swing Playbook HTML report**.  Runs the full pipeline: 1. Pulls swing candidates from PostgreSQL (`scores.daily_scores`) 2. Che	swing playbook report	.claude/skills/swing-playbook-report/SKILL.md
live-prices	project_skill	Live Prices	cd /Users/pradeepgorai/Documents/Projects/finance/Unified-NSE-Analysis	Fetch live NSE prices via yfinance (5-min candles, ~15-min delay during market hours) and open an HTML dashboard at reports/latest/live_prices.html. Use when the user asks for live prices, current pri	live prices	.claude/skills/live-prices/SKILL.md
intraday-alerts	project_skill	Intraday Alerts	cd /Users/pradeepgorai/Documents/Projects/finance/Unified-NSE-Analysis	# Intraday Alerts  Live F&O intraday scan with trigger-based email alerts. Scans the F&O universe every N minutes, detects active/near setups, and emails candidates to the `intraday_alerts` distributi	intraday alerts	.claude/skills/intraday-alerts/SKILL.md
agent-adda-portfolio-assessment	project_skill	Agent Adda Portfolio Assessment	cd /Users/pradeepgorai/Documents/Projects/finance/Unified-NSE-Analysis	Review the latest ICICI Direct equity portfolio CSV and the generated assessment HTML. Use for add/trim/hold/exit rankings, concentration risk, ETF separation, unresolved symbols, and refreshing the s	agent adda portfolio assessment	.claude/skills/agent-adda-portfolio-assessment/SKILL.md
daily-pipeline	project_skill	Daily Pipeline	cd /Users/pradeepgorai/Documents/Projects/finance/Unified-NSE-Analysis	Run the full Agent Adda 7-phase daily pipeline after NSE market close (~16:00 IST). Downloads bhavcopy, scores 965 stocks, generates all 8 HTML reports (EOD, Stage2, Sector Rotation, Top Picks, RRG, P	daily pipeline	.claude/skills/daily-pipeline/SKILL.md
refresh-fund-dashboard	project_skill	Refresh Fund Dashboard	cd /Users/pradeepgorai/Documents/Projects/finance/Unified-NSE-Analysis	End-to-end refresh of the Aug Fund dashboard. Reads fund_holdings.json, fetches live prices via yfinance, queries DB for snapshots/fundamentals/quarterly results, applies fund rules compliance gate, c	refresh fund dashboard	.claude/skills/refresh-fund-dashboard/SKILL.md
tradingview-chart	project_skill	Tradingview Chart	python3 .agents/skills/tradingview-chart/scripts/open_tradingview_chart.py SYMBOL --open --canvas	Open a TradingView-style NSE/BSE chart with Agent Adda studies (SMA 20/50/200, RSI 14, MACD 12/26/9, Supertrend 10x3, ADX 14, volume) and also build daily plus intraday Cursor Canvas LineCharts. Use w	tradingview chart	.claude/skills/tradingview-chart/SKILL.md
workflow_daily_pipeline	workflow	Daily Pipeline — 7-Phase Market Refresh	python daily_refresh.py	Full end-to-end daily pipeline: bhavcopy ingest → PostgreSQL EOD → universe scoring → fundamentals → VCP materialisation → stage snapshots → 40 screeners → sector rotation → top picks report → portfol	pipeline daily etl nse bhavcopy scores reports email	knowledge_base/entries/workflows.yaml
workflow_chart	workflow	Build Equity Chart (TradingView-style)	python -m terminal.chart_engine SYMBOL --months 6 --intra-days 5 --open	Generate a self-contained interactive HTML equity chart for any NSE symbol. Includes candlestick (daily 6M + intraday 15m), SMA 20/50/200, EMA9, RSI 14, Supertrend(10,3), swing-pivot S/R levels, and r	chart technical candlestick sma rsi supertrend intraday html	knowledge_base/entries/workflows.yaml
workflow_fundamental_analysis	workflow	Fundamental Analysis — Company Research	python nse_agent.py --query "fundamental analysis SYMBOL"	Research and value a listed company using filings, investor materials, exchange disclosures, Screener.in history, and current market data. Covers: earnings quality, sales growth, financial strength, i	fundamental valuation research earnings balance_sheet screener	knowledge_base/entries/workflows.yaml
workflow_sector_rotation	workflow	Sector Rotation Report	python sector_rotation_report.py	Stage distribution across all sectors, RS leadership changes, 3-month rotation view, UNKNOWN-row repair, and full sector HTML report. Key output: reports/latest/sector_rotation_report.html 	sector rotation stage rs leadership html	knowledge_base/entries/workflows.yaml
workflow_live_prices	workflow	Live Prices Dashboard	python tools/live_prices.py	Fetch live NSE prices via yfinance (5-min candles, ~15-min delay during market hours) and open an auto-refreshing HTML dashboard at reports/latest/live_prices.html. Shows NIFTY / BANKNIFTY / sector ET	live prices intraday dashboard yfinance html	knowledge_base/entries/workflows.yaml
workflow_fund_dashboard	workflow	Fund Dashboard Refresh	python tools/fund_refresh.py --no-open	End-to-end refresh of the fund dashboard. Reads fund_holdings.json, fetches live prices, queries DB for snapshots/fundamentals/quarterly results, applies fund rules compliance gate, computes P&L for e	fund dashboard holdings pnl compliance html	knowledge_base/entries/workflows.yaml
workflow_vcp_picks	workflow	VCP Picks Materialisation	python scripts/materialize_stage2_vcp_picks.py --lookback-days 365	Stage 2 VCP breakout candidate materialisation to portfolio.stage2_vcp_picks. Must run AFTER sector_rotation_tracker.py --snapshot (Step 4B) and BEFORE top_picks_report.py. Without this, no pick recei	vcp breakout picks stage2 materialize portfolio	knowledge_base/entries/workflows.yaml
workflow_portfolio_assessment	workflow	Portfolio Assessment — Add/Trim/Hold/Exit	python nse_agent.py --query "review my portfolio for incremental add or trim"	Review ICICI Direct equity portfolio CSV, compute add/trim/hold/exit rankings, identify concentration risk, ETF separation, unresolved symbols, and regenerate the sortable portfolio HTML report. Uses 	portfolio assessment add trim hold exit concentration icici	knowledge_base/entries/workflows.yaml
workflow_postgres_management	workflow	PostgreSQL Cluster Management	./postgres/start_pg.sh start	Self-contained PostgreSQL cluster under postgres/data/. Must be started before running any pipeline or loader. Connection: Unix socket /tmp, user nse_admin, no password, database nse_market. 	postgres database cluster start stop restart status	knowledge_base/entries/workflows.yaml
workflow_screener_backfill	workflow	Screener.in Fundamentals Backfill	python scripts/backfill_screener_fundamentals.py	Full Nifty 500 Screener.in fundamentals backfill: earnings quality, sales growth, financial strength, institutional backing. Run weekly or when fundamental scores are stale. Takes 15–30 min for full u	screener fundamentals backfill nifty500 weekly	knowledge_base/entries/workflows.yaml
workflow_ollama_local_setup	workflow	Run Agent Adda with Local Ollama (offline)	ollama pull granite4 && ollama serve	Configure Agent Adda to use a local Ollama model instead of OpenAI. Recommended model: Granite4 (best balance of quality and speed). Also supports nomic-embed-text for local KB embeddings. Set models.	ollama local offline llm granite4 embedding config	knowledge_base/entries/workflows.yaml
